Name,Latitude,Longitude
99280,Svenska Högarna A,59.4423,19.5022
132030,Sylarna A,63.0438,12.2748
92100,Säffle,59.1407,12.9336
113070,Sälen-Högfjället V,61.1583,13.1138
113420,Särna A,61.6912,13.1865
161920,Sävast V,65.7527,21.765
82260,Såtenäs,58.4358,12.7075
99450,Söderarm A,59.7531,19.4054
117160,Söderhamn A,61.2691,17.0983
97120,Södertälje,59.2141,17.6291
178970,Tarfala A,67.9124,18.6101
64320,Tingsryd-Degerhaga,56.5375,14.8989
169790,Tjåkaape Mo,66.3002,19.2
74300,Tomtabacken A,57.4981,14.4645
126290,Torpshammar A,62.4943,16.2774
103080,Torsby,60.1075,12.9908
63590,Torup A,56.9494,13.0601
97100,Tullinge A,59.1785,17.9093
122260,Tännäs A,62.4494,12.6676
72090,Ullared A,57.1134,12.7732
73470,Ulricehamn,57.8052,13.4083
114360,Ulvsjö,61.6022,14.1847
140480,Umeå Flygplats,63.7947,20.2918
97510,Uppsala Aut,59.8586,17.6253
97530,Uppsala Flygplats,59.8953,17.5935
55570,Utklippan A,55.9557,15.7077
169860,Vajmat V,66.505,19.675
96000,Valla,59.0185,16.3709
72080,Varberg,57.1093,12.2961
160960,Vidsel,65.8801,20.1315
160970,Vidsel Mo,65.8769,20.1543
146350,Vilhelmina A,64.5798,16.8386
149120,Vindeln Sunnansjönäs,64.1386,19.7618
71380,Vinga A,57.6322,11.6048
78400,Visby Airport,57.6614,18.3428
84050,Visingsö A,58.0948,14.4058
181900,Vittangi,67.6943,21.6335
81350,Weather Islands A,58576,11.0661
82230,Vanersborg,58.3543,12.3585
85270,Västerlösa,58.4447,15.3772
96350,Vasteras,59.5972,16.6001
138070,Västmarkum A,63.1243,18.2518
64510,Växjö A,56.8463,14.8296
173900,Ylinenjärvi A,66.6223,23.4635
124110,Ytterhogdal,62.1817,14.9478
85490,Zinkgruvan,58.8061,15.1253
114140,Älvdalen A,61.2536,14.0355
161910,Älvsbyn A,65.6691,21062
106570,Åmot A,60.9614,16.4279
133250,Åre-Björnänge V,63.3738,13.1607
82090,Åsbräcka-Torpabron V,58.1997,12.1541
147100,Åsele,64.1598,17.3494
147090,Åsele A,64165,17.3153
94050,Åtorp,59.0966,14.3678
77220,Öland's northern cape,57.3665,17.0976
77210,Öland's northern cape A,57.3671,17.0954
66110,Öland's southern cape A,56.1977,16.4005
66400,Ölandsbron V,56.6669,16.4609
95130,Örebro Airport,59.2289,15.0455
138240,Örnsköldsvik Airport,63.4119,18.9797
108320,Örskär A,60.5256,18.3729
78280,Östergarnsholm A,57.4408,18.9839
102190,Östmark-Lämbacken,60306,12.6977
172770,Överkalix-Svartbyn A,66.2618,22.8427
173810,Övertorneå,66386,23.6155
